ORDERNUMBER,QUANTITYORDERED,PRICEEACH,ORDERDATE,PRODUCTLINE,CITY,COUNTRY,DEALSIZE,TOTAL_SALES
10318,45,100.0,2004-11-02,Motorcycles,Allentown,USA,Medium,4500.0
10329,20,100.0,2004-11-15,Motorcycles,NYC,USA,Medium,2000.0
10339,40,68.92,2004-11-23,Motorcycles,Minato-ku,Japan,Small,2756.8
10361,26,51.15,2004-12-17,Motorcycles,Chatswood,Australia,Small,1329.8999999999999
10374,39,100.0,2005-02-02,Motorcycles,South Brisbane,Australia,Medium,3900.0
10388,50,44.51,2005-03-03,Motorcycles,New Bedford,USA,Small,2225.5
10402,45,100.0,2005-04-07,Motorcycles,Paris,France,Medium,4500.0
10417,45,100.0,2005-05-13,Motorcycles,Madrid,Spain,Medium,4500.0
10107,27,100.0,2003-02-24,Motorcycles,NYC,USA,Medium,2700.0
10120,46,100.0,2003-04-29,Motorcycles,Melbourne,Australia,Large,4600.0
10134,31,100.0,2003-07-01,Motorcycles,Paris,France,Large,3100.0
10145,33,100.0,2003-08-25,Motorcycles,Pasadena,USA,Medium,3300.0
10159,22,100.0,2003-10-10,Motorcycles,San Francisco,USA,Medium,2200.0
10168,20,100.0,2003-10-28,Motorcycles,Burlingame,USA,Medium,2000.0
10180,41,100.0,2003-11-11,Motorcycles,Lille,France,Large,4100.0
10188,45,100.0,2003-11-18,Motorcycles,Bergen,Norway,Large,4500.0
10201,49,100.0,2003-12-01,Motorcycles,San Francisco,USA,Large,4900.0
10210,34,100.0,2004-01-12,Motorcycles,Osaka,Japan,Medium,3400.0
10223,49,100.0,2004-02-20,Motorcycles,Melbourne,Australia,Large,4900.0
10237,39,100.0,2004-04-05,Motorcycles,NYC,USA,Large,3900.0
10251,43,100.0,2004-05-18,Motorcycles,Newark,USA,Large,4300.0
10263,41,100.0,2004-06-28,Motorcycles,Bridgewater,USA,Large,4100.0
10275,36,100.0,2004-07-23,Motorcycles,Nantes,France,Medium,3600.0
10285,27,100.0,2004-08-27,Motorcycles,Cambridge,USA,Medium,2700.0
10299,29,100.0,2004-09-30,Motorcycles,Helsinki,Finland,Medium,2900.0
10308,20,100.0,2004-10-15,Motorcycles,White Plains,USA,Medium,2000.0
10318,37,100.0,2004-11-02,Motorcycles,Allentown,USA,Large,3700.0
10329,26,100.0,2004-11-15,Motorcycles,NYC,USA,Medium,2600.0
10339,39,76.67,2004-11-23,Motorcycles,Minato-ku,Japan,Small,2990.13
10362,22,100.0,2005-01-05,Motorcycles,Burlingame,USA,Medium,2200.0
10374,22,100.0,2005-02-02,Motorcycles,South Brisbane,Australia,Medium,2200.0
10388,21,86.77,2005-03-03,Motorcycles,New Bedford,USA,Small,1822.1699999999998
10403,66,100.0,2005-04-08,Motorcycles,Liverpool,UK,Large,6600.0
10417,56,100.0,2005-05-13,Motorcycles,Madrid,Spain,Large,5600.0
10105,50,100.0,2003-02-11,Classic Cars,Kobenhavn,Denmark,Large,5000.0
10119,46,100.0,2003-04-28,Classic Cars,Salzburg,Austria,Medium,4600.0
10129,33,100.0,2003-06-12,Classic Cars,London,UK,Medium,3300.0
10143,49,100.0,2003-08-10,Classic Cars,New Bedford,USA,Medium,4900.0
10155,32,100.0,2003-10-06,Classic Cars,Helsinki,Finland,Medium,3200.0
10167,44,100.0,2003-10-23,Classic Cars,Boras,Sweden,Medium,4400.0
10178,24,100.0,2003-11-08,Classic Cars,Toulouse,France,Medium,2400.0
10186,26,100.0,2003-11-14,Classic Cars,London,UK,Medium,2600.0
10197,45,100.0,2003-11-26,Classic Cars,Barcelona,Spain,Medium,4500.0
10209,39,100.0,2004-01-09,Classic Cars,Los Angeles,USA,Medium,3900.0
10222,49,100.0,2004-02-19,Classic Cars,San Diego,USA,Medium,4900.0
10248,20,100.0,2004-05-07,Classic Cars,NYC,USA,Small,2000.0
10261,27,100.0,2004-06-17,Classic Cars,Montreal,Canada,Medium,2700.0
10273,30,100.0,2004-07-21,Classic Cars,Bruxelles,Belgium,Medium,3000.0
10283,25,100.0,2004-08-20,Classic Cars,Tsawassen,Canada,Small,2500.0
10295,24,100.0,2004-09-10,Classic Cars,Boston,USA,Medium,2400.0
10307,22,100.0,2004-10-14,Classic Cars,Philadelphia,USA,Small,2200.0
10316,33,100.0,2004-11-01,Classic Cars,Cowes,UK,Medium,3300.0
10325,47,64.93,2004-11-05,Classic Cars,Stavern,Norway,Medium,3051.7100000000005
10337,25,48.05,2004-11-21,Classic Cars,NYC,USA,Small,1201.25
10350,26,75.47,2004-12-02,Classic Cars,Madrid,Spain,Small,1962.22
10359,48,54.68,2004-12-15,Classic Cars,Reims,France,Small,2624.64
10373,39,100.0,2005-01-31,Classic Cars,Oulu,Finland,Medium,3900.0
10384,34,100.0,2005-02-23,Classic Cars,San Francisco,USA,Medium,3400.0
10395,32,100.0,2005-03-17,Classic Cars,Paris,France,Medium,3200.0
10400,64,100.0,2005-04-01,Classic Cars,San Jose,USA,Large,6400.0
10414,19,100.0,2005-05-06,Classic Cars,Boston,USA,Small,1900.0
10103,42,100.0,2003-01-29,Classic Cars,Stavern,Norway,Medium,4200.0
10114,31,100.0,2003-04-01,Classic Cars,Paris,France,Medium,3100.0
10126,22,100.0,2003-05-28,Classic Cars,Madrid,Spain,Medium,2200.0
10140,26,100.0,2003-07-24,Classic Cars,Burlingame,USA,Medium,2600.0
10150,20,100.0,2003-09-19,Classic Cars,Singapore,Singapore,Medium,2000.0
10164,21,100.0,2003-10-21,Classic Cars,Graz,Austria,Medium,2100.0
10175,33,100.0,2003-11-06,Classic Cars,London,UK,Medium,3300.0
10183,28,100.0,2003-11-13,Classic Cars,Philadelphia,USA,Medium,2800.0
10194,26,100.0,2003-11-25,Classic Cars,Lyon,France,Medium,2600.0
10207,31,100.0,2003-12-09,Classic Cars,Boston,USA,Medium,3100.0
10217,48,100.0,2004-02-04,Classic Cars,Singapore,Singapore,Large,4800.0
10229,50,100.0,2004-03-11,Classic Cars,San Rafael,USA,Medium,5000.0
10245,28,100.0,2004-05-04,Classic Cars,New Haven,USA,Medium,2800.0
10259,26,100.0,2004-06-15,Classic Cars,Singapore,Singapore,Medium,2600.0
10270,32,100.0,2004-07-19,Classic Cars,Chatswood,Australia,Medium,3200.0
10281,44,100.0,2004-08-19,Classic Cars,Allentown,USA,Large,4400.0
10291,30,100.0,2004-09-08,Classic Cars,Boras,Sweden,Medium,3000.0
10305,38,100.0,2004-10-13,Classic Cars,Cambridge,USA,Medium,3800.0
10313,40,100.0,2004-10-22,Classic Cars,Vancouver,Canada,Medium,4000.0
10322,46,61.99,2004-11-04,Classic Cars,Nashua,USA,Small,2851.54
10334,26,100.0,2004-11-19,Classic Cars,Lule,Sweden,Medium,2600.0
10347,27,100.0,2004-11-29,Classic Cars,Melbourne,Australia,Medium,2700.0
10357,43,100.0,2004-12-10,Classic Cars,San Rafael,USA,Medium,4300.0
10370,35,65.63,2005-01-20,Classic Cars,North Sydney,Australia,Small,2297.0499999999997
10381,37,100.0,2005-02-17,Classic Cars,San Francisco,USA,Medium,3700.0
10391,37,46.9,2005-03-09,Classic Cars,North Sydney,Australia,Small,1735.3
10411,27,100.0,2005-05-01,Classic Cars,Montreal,Canada,Medium,2700.0
10425,38,100.0,2005-05-31,Classic Cars,Nantes,France,Medium,3800.0
10108,33,100.0,2003-03-03,Classic Cars,Makati City,Philippines,Medium,3300.0
10122,42,100.0,2003-05-08,Classic Cars,Marseille,France,Large,4200.0
10135,42,100.0,2003-07-02,Classic Cars,San Rafael,USA,Large,4200.0
10147,48,100.0,2003-09-05,Classic Cars,Brickhaven,USA,Large,4800.0
10159,41,100.0,2003-10-10,Classic Cars,San Francisco,USA,Large,4100.0
10169,30,100.0,2003-11-04,Classic Cars,North Sydney,Australia,Medium,3000.0
10181,27,100.0,2003-11-12,Classic Cars,Bergen,Norway,Medium,2700.0
10191,21,100.0,2003-11-20,Classic Cars,Koln,Germany,Medium,2100.0
10203,20,100.0,2003-12-02,Classic Cars,Madrid,Spain,Medium,2000.0
10211,41,100.0,2004-01-15,Classic Cars,Paris,France,Large,4100.0
10225,27,100.0,2004-02-22,Classic Cars,Gensve,Switzerland,Medium,2700.0
10238,28,100.0,2004-04-09,Classic Cars,Kobenhavn,Denmark,Medium,2800.0
10253,24,100.0,2004-06-01,Classic Cars,Liverpool,UK,Medium,2400.0
10266,44,100.0,2004-07-06,Classic Cars,Reggio Emilia,Italy,Large,4400.0
10276,50,100.0,2004-08-02,Classic Cars,Brickhaven,USA,Large,5000.0
10287,21,100.0,2004-08-30,Classic Cars,Gensve,Switzerland,Medium,2100.0
10300,33,100.0,2003-10-04,Classic Cars,Frankfurt,Germany,Medium,3300.0
10310,33,100.0,2004-10-16,Classic Cars,Koln,Germany,Medium,3300.0
10320,31,100.0,2004-11-03,Classic Cars,Lule,Sweden,Medium,3100.0
10329,41,71.47,2004-11-15,Classic Cars,NYC,USA,Small,2930.27
10341,45,79.65,2004-11-24,Classic Cars,Salzburg,Austria,Medium,3584.2500000000005
10363,33,85.39,2005-01-06,Classic Cars,Espoo,Finland,Small,2817.87
10375,45,76.0,2005-02-03,Classic Cars,Nantes,France,Medium,3420.0
10389,26,99.04,2005-03-03,Classic Cars,Boras,Sweden,Small,2575.04
10419,12,100.0,2005-05-17,Classic Cars,Salzburg,Austria,Small,1200.0
10105,41,100.0,2003-02-11,Classic Cars,Kobenhavn,Denmark,Large,4100.0
10117,33,100.0,2003-04-16,Classic Cars,Singapore,Singapore,Medium,3300.0
10127,46,100.0,2003-06-03,Classic Cars,NYC,USA,Large,4600.0
10142,33,100.0,2003-08-08,Classic Cars,San Rafael,USA,Large,3300.0
10153,20,100.0,2003-09-28,Classic Cars,Madrid,Spain,Medium,2000.0
10165,44,100.0,2003-10-22,Classic Cars,Singapore,Singapore,Large,4400.0
10176,33,100.0,2003-11-06,Classic Cars,Reggio Emilia,Italy,Large,3300.0
10185,21,100.0,2003-11-14,Classic Cars,New Bedford,USA,Medium,2100.0
10196,47,100.0,2003-11-26,Classic Cars,New Haven,USA,Large,4700.0
10208,46,100.0,2004-01-02,Classic Cars,Lyon,France,Large,4600.0
10220,32,100.0,2004-02-12,Classic Cars,Dublin,Ireland,Large,3200.0
10231,42,100.0,2004-03-19,Classic Cars,Madrid,Spain,Large,4200.0
10247,44,100.0,2004-05-05,Classic Cars,Espoo,Finland,Large,4400.0
10272,35,100.0,2004-07-20,Classic Cars,Allentown,USA,Medium,3500.0
10282,41,100.0,2004-08-20,Classic Cars,San Rafael,USA,Large,4100.0
10293,46,100.0,2004-09-09,Classic Cars,Torino,Italy,Large,4600.0
10306,31,100.0,2004-10-14,Classic Cars,Manchester,UK,Medium,3100.0
10314,38,100.0,2004-10-22,Classic Cars,Aaarhus,Denmark,Large,3800.0
10325,42,64.0,2004-11-05,Classic Cars,Stavern,Norway,Small,2688.0
10336,33,57.22,2004-11-20,Classic Cars,Paris,France,Small,1888.26
10348,48,52.36,2004-11-01,Classic Cars,Madrid,Spain,Small,2513.2799999999997
10359,42,100.0,2004-12-15,Classic Cars,Reims,France,Medium,4200.0
10371,32,100.0,2005-01-23,Classic Cars,San Rafael,USA,Medium,3200.0
10382,34,100.0,2005-02-17,Classic Cars,San Rafael,USA,Medium,3400.0
10395,33,69.12,2005-03-17,Classic Cars,Paris,France,Small,2280.96
10413,36,100.0,2005-05-05,Classic Cars,Bridgewater,USA,Large,3600.0
10103,27,100.0,2003-01-29,Trucks and Buses,Stavern,Norway,Medium,2700.0
10113,21,100.0,2003-03-26,Trucks and Buses,San Rafael,USA,Medium,2100.0
10126,21,100.0,2003-05-28,Trucks and Buses,Madrid,Spain,Small,2100.0
10140,38,100.0,2003-07-24,Trucks and Buses,Burlingame,USA,Medium,3800.0
10150,30,100.0,2003-09-19,Trucks and Buses,Singapore,Singapore,Medium,3000.0
10164,49,100.0,2003-10-21,Trucks and Buses,Graz,Austria,Medium,4900.0
10174,43,100.0,2003-11-06,Trucks and Buses,South Brisbane,Australia,Medium,4300.0
10183,41,100.0,2003-11-13,Trucks and Buses,Philadelphia,USA,Medium,4100.0
10194,38,100.0,2003-11-25,Trucks and Buses,Lyon,France,Medium,3800.0
10206,28,100.0,2003-12-05,Trucks and Buses,Vancouver,Canada,Medium,2800.0
10216,43,100.0,2004-02-02,Trucks and Buses,Versailles,France,Medium,4300.0
10229,25,100.0,2004-03-11,Trucks and Buses,San Rafael,USA,Medium,2500.0
10245,38,100.0,2004-05-04,Trucks and Buses,New Haven,USA,Medium,3800.0
10258,41,100.0,2004-06-15,Trucks and Buses,Minato-ku,Japan,Medium,4100.0
10270,28,100.0,2004-07-19,Trucks and Buses,Chatswood,Australia,Medium,2800.0
10281,25,100.0,2004-08-19,Trucks and Buses,Allentown,USA,Small,2500.0
10291,41,100.0,2004-09-08,Trucks and Buses,Boras,Sweden,Medium,4100.0
10304,39,100.0,2004-10-11,Trucks and Buses,Versailles,France,Medium,3900.0
10313,21,100.0,2004-10-22,Trucks and Buses,Vancouver,Canada,Small,2100.0
10322,27,100.0,2004-11-04,Trucks and Buses,Nashua,USA,Medium,2700.0
10333,33,99.21,2004-11-18,Trucks and Buses,San Francisco,USA,Medium,3273.93
10347,29,100.0,2004-11-29,Trucks and Buses,Melbourne,Australia,Medium,2900.0
10357,49,100.0,2004-12-10,Trucks and Buses,San Rafael,USA,Medium,4900.0
10370,49,100.0,2005-01-20,Trucks and Buses,North Sydney,Australia,Large,4900.0
10381,20,100.0,2005-02-17,Trucks and Buses,San Francisco,USA,Small,2000.0
10391,39,63.2,2005-03-09,Trucks and Buses,North Sydney,Australia,Small,2464.8
10411,40,100.0,2005-05-01,Trucks and Buses,Montreal,Canada,Medium,4000.0
10424,49,100.0,2005-05-31,Trucks and Buses,Madrid,Spain,Large,4900.0
10107,21,100.0,2003-02-24,Motorcycles,NYC,USA,Medium,2100.0
10121,50,100.0,2003-05-07,Motorcycles,Reims,France,Large,5000.0
10134,20,100.0,2003-07-01,Motorcycles,Paris,France,Small,2000.0
10145,49,100.0,2003-08-25,Motorcycles,Pasadena,USA,Large,4900.0
10159,38,100.0,2003-10-10,Motorcycles,San Francisco,USA,Medium,3800.0
10169,35,100.0,2003-11-04,Motorcycles,North Sydney,Australia,Medium,3500.0
10180,40,100.0,2003-11-11,Motorcycles,Lille,France,Medium,4000.0
10189,28,100.0,2003-11-18,Motorcycles,Pasadena,USA,Medium,2800.0
10201,25,100.0,2003-12-01,Motorcycles,San Francisco,USA,Medium,2500.0
10211,36,100.0,2004-01-15,Motorcycles,Paris,France,Medium,3600.0
10224,43,100.0,2004-02-21,Motorcycles,Lille,France,Medium,4300.0
10237,32,100.0,2004-04-05,Motorcycles,NYC,USA,Medium,3200.0
10251,46,100.0,2004-05-18,Motorcycles,Newark,USA,Large,4600.0
10263,48,100.0,2004-06-28,Motorcycles,Bridgewater,USA,Medium,4800.0
10276,43,100.0,2004-08-02,Motorcycles,Brickhaven,USA,Medium,4300.0
10285,49,100.0,2004-08-27,Motorcycles,Cambridge,USA,Medium,4900.0
10299,24,100.0,2004-09-30,Motorcycles,Helsinki,Finland,Medium,2400.0
10309,26,100.0,2004-10-15,Motorcycles,Stavern,Norway,Medium,2600.0
10319,30,100.0,2004-11-03,Motorcycles,NYC,USA,Medium,3000.0
10329,24,100.0,2004-11-15,Motorcycles,NYC,USA,Medium,2400.0
10341,55,100.0,2004-11-24,Motorcycles,Salzburg,Austria,Large,5500.0
10362,22,100.0,2005-01-05,Motorcycles,Burlingame,USA,Medium,2200.0
10375,49,78.92,2005-02-03,Motorcycles,Nantes,France,Medium,3867.08
10388,44,100.0,2005-03-03,Motorcycles,New Bedford,USA,Medium,4400.0
10403,66,100.0,2005-04-08,Motorcycles,Liverpool,UK,Large,6600.0
10417,21,100.0,2005-05-13,Motorcycles,Madrid,Spain,Medium,2100.0
10104,34,100.0,2003-01-31,Classic Cars,Madrid,Spain,Medium,3400.0
10117,43,100.0,2003-04-16,Classic Cars,Singapore,Singapore,Medium,4300.0
10127,46,100.0,2003-06-03,Classic Cars,NYC,USA,Large,4600.0
10142,33,100.0,2003-08-08,Classic Cars,San Rafael,USA,Medium,3300.0
10153,42,100.0,2003-09-28,Classic Cars,Madrid,Spain,Medium,4200.0
10165,34,100.0,2003-10-22,Classic Cars,Singapore,Singapore,Medium,3400.0
10176,47,100.0,2003-11-06,Classic Cars,Reggio Emilia,Italy,Large,4700.0
10185,33,100.0,2003-11-14,Classic Cars,New Bedford,USA,Medium,3300.0
10196,24,100.0,2003-11-26,Classic Cars,New Haven,USA,Medium,2400.0
10208,26,100.0,2004-01-02,Classic Cars,Lyon,France,Medium,2600.0
10220,30,100.0,2004-02-12,Classic Cars,Dublin,Ireland,Medium,3000.0
10230,43,100.0,2004-03-15,Classic Cars,Frankfurt,Germany,Large,4300.0
10247,25,100.0,2004-05-05,Classic Cars,Espoo,Finland,Medium,2500.0
10272,27,100.0,2004-07-20,Classic Cars,Allentown,USA,Medium,2700.0
10282,27,100.0,2004-08-20,Classic Cars,San Rafael,USA,Medium,2700.0
10293,24,100.0,2004-09-09,Classic Cars,Torino,Italy,Medium,2400.0
10306,34,100.0,2004-10-14,Classic Cars,Manchester,UK,Medium,3400.0
10314,46,100.0,2004-10-22,Classic Cars,Aaarhus,Denmark,Medium,4600.0
10324,27,54.33,2004-11-05,Classic Cars,NYC,USA,Small,1466.9099999999999
10336,33,100.0,2004-11-20,Classic Cars,Paris,France,Medium,3300.0
10348,47,100.0,2004-11-01,Classic Cars,Madrid,Spain,Medium,4700.0
10358,49,55.34,2004-12-10,Classic Cars,Madrid,Spain,Small,2711.6600000000003
10372,40,100.0,2005-01-26,Classic Cars,Minato-ku,Japan,Medium,4000.0
10382,37,100.0,2005-02-17,Classic Cars,San Rafael,USA,Medium,3700.0
10413,47,100.0,2005-05-05,Classic Cars,Bridgewater,USA,Large,4700.0
10108,45,100.0,2003-03-03,Classic Cars,Makati City,Philippines,Medium,4500.0
10122,37,99.82,2003-05-08,Classic Cars,Marseille,France,Medium,3693.3399999999997
10135,48,100.0,2003-07-02,Classic Cars,San Rafael,USA,Medium,4800.0
10147,31,100.0,2003-09-05,Classic Cars,Brickhaven,USA,Medium,3100.0
10160,46,100.0,2003-10-11,Classic Cars,Los Angeles,USA,Medium,4600.0
10170,47,100.0,2003-11-04,Classic Cars,Graz,Austria,Medium,4700.0
10181,28,100.0,2003-11-12,Classic Cars,Bergen,Norway,Small,2800.0
10191,40,100.0,2003-11-20,Classic Cars,Koln,Germany,Medium,4000.0
10203,20,100.0,2003-12-02,Classic Cars,Madrid,Spain,Small,2000.0
10212,39,100.0,2004-01-16,Classic Cars,Madrid,Spain,Medium,3900.0
10225,25,99.82,2004-02-22,Classic Cars,Gensve,Switzerland,Small,2495.5
10238,29,100.0,2004-04-09,Classic Cars,Kobenhavn,Denmark,Medium,2900.0
10253,22,100.0,2004-06-01,Classic Cars,Liverpool,UK,Small,2200.0
10266,22,100.0,2004-07-06,Classic Cars,Reggio Emilia,Italy,Small,2200.0
10276,47,100.0,2004-08-02,Classic Cars,Brickhaven,USA,Medium,4700.0
10287,45,100.0,2004-08-30,Classic Cars,Gensve,Switzerland,Medium,4500.0
10300,29,100.0,2003-10-04,Classic Cars,Frankfurt,Germany,Medium,2900.0
10310,24,100.0,2004-10-16,Classic Cars,Koln,Germany,Medium,2400.0
10320,35,100.0,2004-11-03,Classic Cars,Lule,Sweden,Medium,3500.0
10329,46,83.63,2004-11-15,Classic Cars,NYC,USA,Medium,3846.9799999999996
10341,44,95.93,2004-11-24,Classic Cars,Salzburg,Austria,Medium,4220.92
10363,34,96.73,2005-01-06,Classic Cars,Espoo,Finland,Medium,3288.82
10376,35,100.0,2005-02-08,Classic Cars,Glendale,USA,Medium,3500.0
10389,25,72.38,2005-03-03,Classic Cars,Boras,Sweden,Small,1809.5
10419,10,100.0,2005-05-17,Classic Cars,Salzburg,Austria,Small,1000.0
10105,29,100.0,2003-02-11,Classic Cars,Kobenhavn,Denmark,Medium,2900.0
10117,39,100.0,2003-04-16,Classic Cars,Singapore,Singapore,Medium,3900.0
10127,42,100.0,2003-06-03,Classic Cars,NYC,USA,Large,4200.0
10142,46,100.0,2003-08-08,Classic Cars,San Rafael,USA,Large,4600.0
10153,49,100.0,2003-09-28,Classic Cars,Madrid,Spain,Large,4900.0
10165,27,100.0,2003-10-22,Classic Cars,Singapore,Singapore,Medium,2700.0
10176,50,100.0,2003-11-06,Classic Cars,Reggio Emilia,Italy,Large,5000.0
10185,43,100.0,2003-11-14,Classic Cars,New Bedford,USA,Large,4300.0
10196,38,100.0,2003-11-26,Classic Cars,New Haven,USA,Large,3800.0
10208,20,100.0,2004-01-02,Classic Cars,Lyon,France,Medium,2000.0
10220,27,100.0,2004-02-12,Classic Cars,Dublin,Ireland,Medium,2700.0
10231,49,100.0,2004-03-19,Classic Cars,Madrid,Spain,Medium,4900.0
10247,27,100.0,2004-05-05,Classic Cars,Espoo,Finland,Medium,2700.0
10272,39,100.0,2004-07-20,Classic Cars,Allentown,USA,Large,3900.0
10282,24,100.0,2004-08-20,Classic Cars,San Rafael,USA,Medium,2400.0
10293,45,100.0,2004-09-09,Classic Cars,Torino,Italy,Large,4500.0
10306,20,100.0,2004-10-14,Classic Cars,Manchester,UK,Medium,2000.0
10314,36,100.0,2004-10-22,Classic Cars,Aaarhus,Denmark,Medium,3600.0
10325,24,100.0,2004-11-05,Classic Cars,Stavern,Norway,Small,2400.0
10336,49,63.38,2004-11-20,Classic Cars,Paris,France,Medium,3105.6200000000003
10349,26,100.0,2004-12-01,Classic Cars,NYC,USA,Medium,2600.0
10359,49,62.09,2004-12-15,Classic Cars,Reims,France,Medium,3042.4100000000003
10372,34,100.0,2005-01-26,Classic Cars,Minato-ku,Japan,Medium,3400.0
